Qty,Value,Device,Package,Parts,Part no
3,0.001,R_SENSE_1210,R1210_KELVIN,"R5, R6, R7",PMR25HZPFV1L00
10,0.1uF 10V,C0402,C0402,"C2, C4, C6, C7, C8, C13, C15, C36, C41, C43",LMK105BJ104KV-F
1,100k,R0402,R0402,R1,RC0402FR-07100KL
4,10k 1%,R0402,R0402,"R3, R8, R9, R11",RC0402FR-0710KL
1,10nF 10V,C0402,C0402,C10,885012005007
1,10uF 25V,C0603,C0603,C14,GRM188R61E106MA73D
16,10uF 50V,C1206,C1206,"C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C44",GRT31CR61H106ME01L
1,120,R0402,R0402,R4,RK73H1ETTP1200F
1,150060BS75000,LED_0603,D0603,D4,150060BS75000
1,150060GS75000,LED_0603,D0603,D2,150060GS75000
1,150060RS75000,LED_0603,D0603,D3,150060RS75000
1,150k 1%,R0402,R0402,R10,RC0402FR-07150KL
7,1uF 10V,C0402,C0402,"C1, C3, C5, C11, C34, C35, C38",GRM155R71A104KA01D
2,1uF 50V,C0603,C0603,"C31, C32",GRT188R61H105KE13D
2,2.2uF 10V,C0402,C0402,"C39, C40",GRM155R61A225KE95D
1,2.2uF 50V,C0603,C0603,C12,GRM188R61H225KE11D
2,22,R0402,R0402,"R12, R14",RC0402FR-0722RL
1,22uH Bourns,L_SDR0302,SDR0302,L2,SDR0302-220ML
1,270,R0402,R0402,R13,ERJ-2RKF2700X
1,4.7uF 10V,C0402,C0402,C9,GRM155R61A475MEAAD
1,47nF 50V,C0402,C0402,C33,GCM155R71H472KA37D
1,54.9k 1%,R0402,R0402,R2,RC0402FR-0754K9L
2,6.8pF 10V,C0402,C0402,"C37, C42",885012005007
2,600R@100MHz,DC_CHOKE_FERRITE_BEAD_0603,L0603,"L1, L3",BLM18KG601SN1D
1,CRYSTAL_NX2016SA-24MHZ-EXS00A-CS11335,CRYSTAL_NX2016SA-24MHZ-EXS00A-CS11335,NX201SA,X1,NX2016SA-24MHZ-EXS00A-CS11335
1,DRV8323RS,DRV8323RS,VQFN-48_7X7,U2,DRV8323RSRGZR
1,LDFM33PUR,LDFM33PUR,DFN6_2X2,U11,LDFM33PUR
1,,,MOLEX_5040500391‎,J2,5040500391‎
1,,,MOLEX_5040500891‎,J3,5040500891‎
1,MA702,MA702,QFN-16_3X3,U1,MA702GQ-Z
1,MCP2542FD,MCP2542FD,TDFN_2X3,U10,MCP2542FDT-H/MNY
1,PWR_2_XT30PW-M,PWR_2_XT30PW-M,XT30PW-M,J1,
1,SCHOTTKY_SOD123,SCHOTTKY_SOD123,SOD123,D1,MBR0530T1G
1,STM32G4_UFQFPN48_T1,STM32G4_UFQFPN48_T1,UFQFPN-48_7X7X0P55MM,U9,STM32G474CEU6
6,TPN7R006PL,TPN7R006PL,2-3X1S-TSONADVANCE,"U3, U4, U5, U6, U7, U8","TPN7R006PL,L1Q"
3,WIRE_HOLE_AWG_18,WIRE_HOLE_AWG_18,AWG_18,"PHASE_A, PHASE_B, PHASE_C",
